time,fireArea,predictedFireArea,accuracy,sensitivity,specificity
0,1,1,1.0,1.0,1.0
27,1,1,1.0,1.0,1.0
54,1,1,1.0,1.0,1.0
81,1,1,1.0,1.0,1.0
109,1,1,1.0,1.0,1.0
136,1,1,1.0,1.0,1.0
163,1,1,1.0,1.0,1.0
191,1,1,1.0,1.0,1.0
218,7,1,0.994140625,0.14285714285714285,1.0
245,7,1,0.994140625,0.14285714285714285,1.0
273,7,1,0.994140625,0.14285714285714285,1.0
300,7,1,0.994140625,0.14285714285714285,1.0
327,7,1,0.994140625,0.14285714285714285,1.0
354,7,1,0.994140625,0.14285714285714285,1.0
382,7,1,0.994140625,0.14285714285714285,1.0
409,7,1,0.994140625,0.14285714285714285,1.0
436,18,1,0.9833984375,0.05555555555555555,1.0
464,18,1,0.9833984375,0.05555555555555555,1.0
491,18,1,0.9833984375,0.05555555555555555,1.0
518,18,1,0.9833984375,0.05555555555555555,1.0
546,18,1,0.9833984375,0.05555555555555555,1.0
573,18,1,0.9833984375,0.05555555555555555,1.0
600,18,1,0.9833984375,0.05555555555555555,1.0
627,18,7,0.9892578125,0.3888888888888889,1.0
655,34,14,0.98046875,0.4117647058823529,1.0
682,34,21,0.9873046875,0.6176470588235294,1.0
709,34,21,0.9873046875,0.6176470588235294,1.0
737,34,21,0.9873046875,0.6176470588235294,1.0
764,34,21,0.9873046875,0.6176470588235294,1.0
791,34,21,0.9873046875,0.6176470588235294,1.0
818,34,21,0.9873046875,0.6176470588235294,1.0
846,34,21,0.9873046875,0.6176470588235294,1.0
873,57,26,0.9697265625,0.45614035087719296,1.0
900,57,26,0.9697265625,0.45614035087719296,1.0
928,57,26,0.9697265625,0.45614035087719296,1.0
955,57,26,0.9697265625,0.45614035087719296,1.0
982,57,26,0.9697265625,0.45614035087719296,1.0
1010,57,26,0.9697265625,0.45614035087719296,1.0
1037,57,26,0.9697265625,0.45614035087719296,1.0
1064,57,26,0.9697265625,0.45614035087719296,1.0
1091,87,34,0.9482421875,0.39080459770114945,1.0
1119,87,38,0.9521484375,0.4367816091954023,1.0
1146,87,45,0.958984375,0.5172413793103449,1.0
1173,87,53,0.966796875,0.6091954022988506,1.0
1201,87,54,0.9677734375,0.6206896551724138,1.0
1228,87,54,0.9677734375,0.6206896551724138,1.0
1255,87,54,0.9677734375,0.6206896551724138,1.0
1283,87,54,0.9677734375,0.6206896551724138,1.0
1310,120,70,0.951171875,0.5833333333333334,1.0
1337,120,70,0.951171875,0.5833333333333334,1.0
1364,120,70,0.951171875,0.5833333333333334,1.0
1392,120,75,0.9560546875,0.625,1.0
1419,120,81,0.9619140625,0.675,1.0
1446,120,86,0.966796875,0.7166666666666667,1.0
1474,120,91,0.9716796875,0.7583333333333333,1.0
1501,120,100,0.98046875,0.8333333333333334,1.0
1528,159,132,0.9736328125,0.8301886792452831,1.0
1556,159,142,0.9833984375,0.8930817610062893,1.0
1583,159,142,0.9833984375,0.8930817610062893,1.0
1610,159,142,0.9833984375,0.8930817610062893,1.0
1637,159,142,0.9833984375,0.8930817610062893,1.0
1665,159,142,0.9833984375,0.8930817610062893,1.0
1692,159,142,0.9833984375,0.8930817610062893,1.0
1719,159,142,0.9833984375,0.8930817610062893,1.0
1747,200,162,0.962890625,0.81,1.0
1774,200,164,0.96484375,0.82,1.0
1801,200,164,0.96484375,0.82,1.0
1829,200,164,0.96484375,0.82,1.0
1856,200,164,0.96484375,0.82,1.0
1883,200,168,0.96875,0.84,1.0
1910,200,170,0.970703125,0.85,1.0
1938,200,172,0.97265625,0.86,1.0
1965,249,207,0.958984375,0.8313253012048193,1.0
1992,249,213,0.96484375,0.8554216867469879,1.0
2020,249,220,0.9716796875,0.8835341365461847,1.0
2047,249,225,0.9765625,0.9036144578313253,1.0
2074,249,229,0.98046875,0.9196787148594378,1.0
2102,249,229,0.98046875,0.9196787148594378,1.0
2129,249,229,0.98046875,0.9196787148594378,1.0
2156,249,229,0.98046875,0.9196787148594378,1.0
2183,298,266,0.96875,0.8926174496644296,1.0
2211,298,271,0.9736328125,0.9093959731543624,1.0
2238,298,275,0.9775390625,0.9228187919463087,1.0
2265,298,278,0.98046875,0.9328859060402684,1.0
2293,303,286,0.9833984375,0.9438943894389439,1.0
2320,303,289,0.986328125,0.9537953795379538,1.0
2347,303,289,0.986328125,0.9537953795379538,1.0
2375,303,289,0.986328125,0.9537953795379538,1.0
2402,354,322,0.96875,0.9096045197740112,1.0
2429,354,322,0.96875,0.9096045197740112,1.0
2457,354,322,0.96875,0.9096045197740112,1.0
2484,354,322,0.96875,0.9096045197740112,1.0
2511,360,327,0.9677734375,0.9083333333333333,1.0
2538,360,327,0.9677734375,0.9083333333333333,1.0
2566,360,327,0.9677734375,0.9083333333333333,1.0
2593,360,327,0.9677734375,0.9083333333333333,1.0
2620,421,367,0.947265625,0.8717339667458432,1.0
2648,421,367,0.947265625,0.8717339667458432,1.0
2675,421,367,0.947265625,0.8717339667458432,1.0
2702,421,367,0.947265625,0.8717339667458432,1.0
2730,422,367,0.9462890625,0.8696682464454977,1.0
2757,422,367,0.9462890625,0.8696682464454977,1.0
2784,422,367,0.9462890625,0.8696682464454977,1.0
2811,422,371,0.9501953125,0.8791469194312796,1.0
2839,452,404,0.953125,0.8938053097345132,1.0
2866,452,411,0.9599609375,0.9092920353982301,1.0
2893,452,417,0.9658203125,0.922566371681416,1.0
2921,452,421,0.9697265625,0.9314159292035398,1.0
2948,458,434,0.9765625,0.9475982532751092,1.0
2975,458,440,0.982421875,0.9606986899563319,1.0
3003,458,441,0.9833984375,0.962882096069869,1.0
3030,458,442,0.984375,0.9650655021834061,1.0
3057,480,457,0.9775390625,0.9520833333333333,1.0
3084,480,459,0.9794921875,0.95625,1.0
3112,480,461,0.9814453125,0.9604166666666667,1.0
3139,480,463,0.9833984375,0.9645833333333333,1.0
3166,490,473,0.9833984375,0.9653061224489796,1.0
3194,490,473,0.9833984375,0.9653061224489796,1.0
3221,490,473,0.9833984375,0.9653061224489796,1.0
3248,490,473,0.9833984375,0.9653061224489796,1.0
3276,515,493,0.978515625,0.9572815533980582,1.0
3303,515,497,0.982421875,0.9650485436893204,1.0
3330,515,499,0.984375,0.9689320388349515,1.0
3357,515,501,0.986328125,0.9728155339805825,1.0
3385,518,501,0.9833984375,0.9671814671814671,1.0
3412,518,501,0.9833984375,0.9671814671814671,1.0
3439,518,501,0.9833984375,0.9671814671814671,1.0
3467,518,501,0.9833984375,0.9671814671814671,1.0
3494,546,522,0.9765625,0.9560439560439561,1.0
3521,546,522,0.9765625,0.9560439560439561,1.0
3549,546,522,0.9765625,0.9560439560439561,1.0
3576,546,522,0.9765625,0.9560439560439561,1.0
3603,554,527,0.9736328125,0.9512635379061372,1.0
3630,554,529,0.9755859375,0.9548736462093863,1.0
3658,554,531,0.9775390625,0.9584837545126353,1.0
3685,554,533,0.9794921875,0.9620938628158845,1.0
3712,575,550,0.9755859375,0.9565217391304348,1.0
3740,575,554,0.9794921875,0.9634782608695652,1.0
3767,575,558,0.9833984375,0.9704347826086956,1.0
3794,575,558,0.9833984375,0.9704347826086956,1.0
3822,584,566,0.982421875,0.9691780821917808,1.0
3849,584,566,0.982421875,0.9691780821917808,1.0
3876,584,566,0.982421875,0.9691780821917808,1.0
3903,584,566,0.982421875,0.9691780821917808,1.0
3931,609,572,0.9638671875,0.9392446633825944,1.0
3958,609,572,0.9638671875,0.9392446633825944,1.0
3985,609,572,0.9638671875,0.9392446633825944,1.0
4013,609,572,0.9638671875,0.9392446633825944,1.0
4040,614,573,0.9599609375,0.9332247557003257,1.0
4067,614,574,0.9609375,0.9348534201954397,1.0
4095,614,574,0.9609375,0.9348534201954397,1.0
4122,614,574,0.9609375,0.9348534201954397,1.0
4149,642,580,0.939453125,0.9034267912772586,1.0
4176,642,580,0.939453125,0.9034267912772586,1.0
4204,642,580,0.939453125,0.9034267912772586,1.0
4231,642,580,0.939453125,0.9034267912772586,1.0
4258,652,586,0.935546875,0.8987730061349694,1.0
4286,652,586,0.935546875,0.8987730061349694,1.0
4313,652,586,0.935546875,0.8987730061349694,1.0
4340,652,586,0.935546875,0.8987730061349694,1.0
4368,656,588,0.93359375,0.8963414634146342,1.0
4395,656,588,0.93359375,0.8963414634146342,1.0
4422,656,588,0.93359375,0.8963414634146342,1.0
4449,656,588,0.93359375,0.8963414634146342,1.0
4477,664,594,0.931640625,0.8945783132530121,1.0
4504,664,594,0.931640625,0.8945783132530121,1.0
4531,664,594,0.931640625,0.8945783132530121,1.0
4559,664,594,0.931640625,0.8945783132530121,1.0
4586,672,600,0.9296875,0.8928571428571429,1.0
4613,672,600,0.9296875,0.8928571428571429,1.0
4641,672,600,0.9296875,0.8928571428571429,1.0
4668,672,600,0.9296875,0.8928571428571429,1.0
4695,674,602,0.9296875,0.8931750741839762,1.0
4722,674,602,0.9296875,0.8931750741839762,1.0
4750,674,602,0.9296875,0.8931750741839762,1.0
4777,674,602,0.9296875,0.8931750741839762,1.0
4804,682,608,0.927734375,0.8914956011730205,1.0
4832,682,608,0.927734375,0.8914956011730205,1.0
4859,682,608,0.927734375,0.8914956011730205,1.0
4886,682,608,0.927734375,0.8914956011730205,1.0
4914,691,617,0.927734375,0.8929088277858177,1.0
4941,691,617,0.927734375,0.8929088277858177,1.0
4968,691,617,0.927734375,0.8929088277858177,1.0
4995,691,617,0.927734375,0.8929088277858177,1.0
5023,693,619,0.927734375,0.8932178932178932,1.0
5050,693,619,0.927734375,0.8932178932178932,1.0
5077,693,619,0.927734375,0.8932178932178932,1.0
5105,693,619,0.927734375,0.8932178932178932,1.0
5132,701,624,0.9248046875,0.8901569186875892,1.0
5159,701,624,0.9248046875,0.8901569186875892,1.0
5187,701,624,0.9248046875,0.8901569186875892,1.0
5214,701,624,0.9248046875,0.8901569186875892,1.0
5241,709,634,0.9267578125,0.8942172073342737,1.0
5268,709,634,0.9267578125,0.8942172073342737,1.0
5296,709,634,0.9267578125,0.8942172073342737,1.0
5323,709,634,0.9267578125,0.8942172073342737,1.0
5350,711,636,0.9267578125,0.8945147679324894,1.0
5378,711,636,0.9267578125,0.8945147679324894,1.0
5405,711,636,0.9267578125,0.8945147679324894,1.0
5432,711,636,0.9267578125,0.8945147679324894,1.0
5460,718,642,0.92578125,0.8941504178272981,1.0
5487,718,642,0.92578125,0.8941504178272981,1.0
5514,718,642,0.92578125,0.8941504178272981,1.0
5541,718,642,0.92578125,0.8941504178272981,1.0
5569,727,652,0.9267578125,0.8968363136176066,1.0
5596,727,652,0.9267578125,0.8968363136176066,1.0
5623,727,652,0.9267578125,0.8968363136176066,1.0
5651,727,652,0.9267578125,0.8968363136176066,1.0
5678,729,654,0.9267578125,0.897119341563786,1.0
5705,729,654,0.9267578125,0.897119341563786,1.0
5733,729,654,0.9267578125,0.897119341563786,1.0
5760,729,654,0.9267578125,0.897119341563786,1.0
5787,736,660,0.92578125,0.8967391304347826,1.0
5814,736,660,0.92578125,0.8967391304347826,1.0
5842,736,660,0.92578125,0.8967391304347826,1.0
5869,736,660,0.92578125,0.8967391304347826,1.0
5896,744,667,0.9248046875,0.896505376344086,1.0
5924,744,667,0.9248046875,0.896505376344086,1.0
5951,744,667,0.9248046875,0.896505376344086,1.0
5978,744,667,0.9248046875,0.896505376344086,1.0
6006,746,669,0.9248046875,0.8967828418230563,1.0
6033,746,669,0.9248046875,0.8967828418230563,1.0
6060,746,669,0.9248046875,0.8967828418230563,1.0
6087,746,669,0.9248046875,0.8967828418230563,1.0
6115,752,675,0.9248046875,0.8976063829787234,1.0
6142,752,675,0.9248046875,0.8976063829787234,1.0
6169,752,675,0.9248046875,0.8976063829787234,1.0
6197,752,675,0.9248046875,0.8976063829787234,1.0
6224,760,682,0.923828125,0.8973684210526316,1.0
6251,760,682,0.923828125,0.8973684210526316,1.0
6279,760,682,0.923828125,0.8973684210526316,1.0
6306,760,682,0.923828125,0.8973684210526316,1.0
6333,762,684,0.923828125,0.8976377952755905,1.0
6360,762,684,0.923828125,0.8976377952755905,1.0
6388,762,684,0.923828125,0.8976377952755905,1.0
6415,762,684,0.923828125,0.8976377952755905,1.0
6442,768,690,0.923828125,0.8984375,1.0
6470,768,690,0.923828125,0.8984375,1.0
6497,768,690,0.923828125,0.8984375,1.0
6524,768,690,0.923828125,0.8984375,1.0
6552,775,697,0.923828125,0.8993548387096775,1.0
6579,775,697,0.923828125,0.8993548387096775,1.0
6606,775,697,0.923828125,0.8993548387096775,1.0
6633,775,697,0.923828125,0.8993548387096775,1.0
6661,777,699,0.923828125,0.8996138996138996,1.0
6688,777,699,0.923828125,0.8996138996138996,1.0
6715,777,699,0.923828125,0.8996138996138996,1.0
6743,777,699,0.923828125,0.8996138996138996,1.0
6770,782,701,0.9208984375,0.8964194373401535,1.0
6797,782,701,0.9208984375,0.8964194373401535,1.0
6825,782,701,0.9208984375,0.8964194373401535,1.0
6852,782,701,0.9208984375,0.8964194373401535,1.0
6879,790,709,0.9208984375,0.8974683544303798,1.0
6906,790,709,0.9208984375,0.8974683544303798,1.0
6934,790,709,0.9208984375,0.8974683544303798,1.0
6961,790,709,0.9208984375,0.8974683544303798,1.0
6988,792,711,0.9208984375,0.8977272727272727,1.0
7016,792,711,0.9208984375,0.8977272727272727,1.0
7043,792,711,0.9208984375,0.8977272727272727,1.0
7070,792,711,0.9208984375,0.8977272727272727,1.0
7098,796,713,0.9189453125,0.8957286432160804,1.0
7125,796,713,0.9189453125,0.8957286432160804,1.0
7152,796,713,0.9189453125,0.8957286432160804,1.0
7179,796,713,0.9189453125,0.8957286432160804,1.0
7207,804,720,0.91796875,0.8955223880597015,1.0
7234,804,720,0.91796875,0.8955223880597015,1.0
7261,804,720,0.91796875,0.8955223880597015,1.0
7289,804,720,0.91796875,0.8955223880597015,1.0
7316,806,723,0.9189453125,0.8970223325062034,1.0
7343,806,723,0.9189453125,0.8970223325062034,1.0
7371,806,723,0.9189453125,0.8970223325062034,1.0
7398,806,723,0.9189453125,0.8970223325062034,1.0
7425,809,726,0.9189453125,0.8974042027194067,1.0
7452,809,727,0.919921875,0.8986402966625463,1.0
7480,809,729,0.921875,0.9011124845488258,1.0
7507,809,730,0.9228515625,0.9023485784919654,1.0
7534,818,739,0.9228515625,0.9034229828850856,1.0
7562,818,739,0.9228515625,0.9034229828850856,1.0
7589,818,739,0.9228515625,0.9034229828850856,1.0
7616,818,739,0.9228515625,0.9034229828850856,1.0
7644,820,741,0.9228515625,0.9036585365853659,1.0
7671,820,741,0.9228515625,0.9036585365853659,1.0
7698,820,741,0.9228515625,0.9036585365853659,1.0
7725,820,741,0.9228515625,0.9036585365853659,1.0
7753,822,743,0.9228515625,0.9038929440389294,1.0
7780,822,743,0.9228515625,0.9038929440389294,1.0
7807,822,743,0.9228515625,0.9038929440389294,1.0
7835,822,743,0.9228515625,0.9038929440389294,1.0
7862,831,752,0.9228515625,0.9049338146811071,1.0
7889,831,752,0.9228515625,0.9049338146811071,1.0
7917,831,752,0.9228515625,0.9049338146811071,1.0
7944,831,752,0.9228515625,0.9049338146811071,1.0
7971,833,753,0.921875,0.9039615846338536,1.0
7998,833,753,0.921875,0.9039615846338536,1.0
8026,833,753,0.921875,0.9039615846338536,1.0
8053,833,753,0.921875,0.9039615846338536,1.0
8080,834,754,0.921875,0.9040767386091128,1.0
8108,834,754,0.921875,0.9040767386091128,1.0
8135,834,754,0.921875,0.9040767386091128,1.0
8162,834,754,0.921875,0.9040767386091128,1.0
8190,844,764,0.921875,0.9052132701421801,1.0
8217,844,764,0.921875,0.9052132701421801,1.0
8244,844,764,0.921875,0.9052132701421801,1.0
8271,844,764,0.921875,0.9052132701421801,1.0
8299,845,765,0.921875,0.9053254437869822,1.0
8326,845,765,0.921875,0.9053254437869822,1.0
8353,845,765,0.921875,0.9053254437869822,1.0
8381,845,765,0.921875,0.9053254437869822,1.0
8408,846,766,0.921875,0.9054373522458629,1.0
8435,846,766,0.921875,0.9054373522458629,1.0
8463,846,766,0.921875,0.9054373522458629,1.0
8490,846,767,0.9228515625,0.9066193853427896,1.0
8517,855,776,0.9228515625,0.9076023391812865,1.0
8544,855,776,0.9228515625,0.9076023391812865,1.0
8572,855,776,0.9228515625,0.9076023391812865,1.0
8599,855,776,0.9228515625,0.9076023391812865,1.0
8626,856,777,0.9228515625,0.9077102803738317,1.0
8654,856,777,0.9228515625,0.9077102803738317,1.0
8681,856,777,0.9228515625,0.9077102803738317,1.0
8708,856,777,0.9228515625,0.9077102803738317,1.0
8736,856,777,0.9228515625,0.9077102803738317,1.0
8763,856,777,0.9228515625,0.9077102803738317,1.0
8790,856,777,0.9228515625,0.9077102803738317,1.0
8817,856,777,0.9228515625,0.9077102803738317,1.0
8845,866,787,0.9228515625,0.9087759815242494,1.0
8872,866,787,0.9228515625,0.9087759815242494,1.0
