time,fireArea,predictedFireArea,accuracy,sensitivity,specificity
0,1,1,1.0,1.0,1.0
27,1,1,1.0,1.0,1.0
54,1,1,1.0,1.0,1.0
81,1,1,1.0,1.0,1.0
109,1,1,1.0,1.0,1.0
136,1,1,1.0,1.0,1.0
163,1,1,1.0,1.0,1.0
191,1,1,1.0,1.0,1.0
218,1,1,1.0,1.0,1.0
245,1,1,1.0,1.0,1.0
273,1,1,1.0,1.0,1.0
300,1,1,1.0,1.0,1.0
327,1,1,1.0,1.0,1.0
354,1,1,1.0,1.0,1.0
382,1,1,1.0,1.0,1.0
409,1,1,1.0,1.0,1.0
436,1,1,1.0,1.0,1.0
464,1,1,1.0,1.0,1.0
491,1,1,1.0,1.0,1.0
518,1,1,1.0,1.0,1.0
546,1,1,1.0,1.0,1.0
573,1,1,1.0,1.0,1.0
600,1,1,1.0,1.0,1.0
627,1,1,1.0,1.0,1.0
655,1,1,1.0,1.0,1.0
682,1,1,1.0,1.0,1.0
709,1,1,1.0,1.0,1.0
737,1,1,1.0,1.0,1.0
764,1,1,1.0,1.0,1.0
791,1,1,1.0,1.0,1.0
818,1,1,1.0,1.0,1.0
846,1,1,1.0,1.0,1.0
873,1,1,1.0,1.0,1.0
900,1,1,1.0,1.0,1.0
928,1,1,1.0,1.0,1.0
955,1,1,1.0,1.0,1.0
982,1,1,1.0,1.0,1.0
1010,1,1,1.0,1.0,1.0
1037,1,1,1.0,1.0,1.0
1064,1,1,1.0,1.0,1.0
1091,1,1,1.0,1.0,1.0
1119,1,1,1.0,1.0,1.0
1146,1,1,1.0,1.0,1.0
1173,1,1,1.0,1.0,1.0
1201,1,1,1.0,1.0,1.0
1228,1,1,1.0,1.0,1.0
1255,1,1,1.0,1.0,1.0
1283,1,1,1.0,1.0,1.0
1310,1,1,1.0,1.0,1.0
1337,1,1,1.0,1.0,1.0
1364,1,1,1.0,1.0,1.0
1392,1,1,1.0,1.0,1.0
1419,1,1,1.0,1.0,1.0
1446,1,1,1.0,1.0,1.0
1474,1,1,1.0,1.0,1.0
1501,1,1,1.0,1.0,1.0
1528,1,1,1.0,1.0,1.0
1556,1,1,1.0,1.0,1.0
1583,1,1,1.0,1.0,1.0
1610,1,1,1.0,1.0,1.0
1637,1,1,1.0,1.0,1.0
1665,1,1,1.0,1.0,1.0
1692,1,1,1.0,1.0,1.0
1719,1,1,1.0,1.0,1.0
1747,1,1,1.0,1.0,1.0
1774,1,1,1.0,1.0,1.0
1801,1,1,1.0,1.0,1.0
1829,1,1,1.0,1.0,1.0
1856,1,1,1.0,1.0,1.0
1883,1,1,1.0,1.0,1.0
1910,1,1,1.0,1.0,1.0
1938,1,1,1.0,1.0,1.0
1965,1,1,1.0,1.0,1.0
1992,1,1,1.0,1.0,1.0
2020,1,1,1.0,1.0,1.0
2047,1,1,1.0,1.0,1.0
2074,1,1,1.0,1.0,1.0
2102,1,1,1.0,1.0,1.0
2129,1,1,1.0,1.0,1.0
2156,1,1,1.0,1.0,1.0
2183,1,1,1.0,1.0,1.0
2211,1,1,1.0,1.0,1.0
2238,1,1,1.0,1.0,1.0
2265,1,1,1.0,1.0,1.0
2293,1,1,1.0,1.0,1.0
2320,1,1,1.0,1.0,1.0
2347,1,1,1.0,1.0,1.0
2375,1,1,1.0,1.0,1.0
2402,1,1,1.0,1.0,1.0
2429,1,1,1.0,1.0,1.0
2457,1,1,1.0,1.0,1.0
2484,1,1,1.0,1.0,1.0
2511,1,1,1.0,1.0,1.0
2538,1,1,1.0,1.0,1.0
2566,1,1,1.0,1.0,1.0
2593,1,1,1.0,1.0,1.0
2620,1,1,1.0,1.0,1.0
2648,1,1,1.0,1.0,1.0
2675,1,1,1.0,1.0,1.0
2702,1,1,1.0,1.0,1.0
2730,1,1,1.0,1.0,1.0
2757,1,1,1.0,1.0,1.0
2784,1,1,1.0,1.0,1.0
2811,1,1,1.0,1.0,1.0
2839,1,1,1.0,1.0,1.0
2866,1,1,1.0,1.0,1.0
2893,1,1,1.0,1.0,1.0
2921,1,1,1.0,1.0,1.0
2948,1,1,1.0,1.0,1.0
2975,1,1,1.0,1.0,1.0
3003,1,1,1.0,1.0,1.0
3030,1,1,1.0,1.0,1.0
3057,1,1,1.0,1.0,1.0
3084,1,1,1.0,1.0,1.0
3112,1,1,1.0,1.0,1.0
3139,1,1,1.0,1.0,1.0
3166,1,1,1.0,1.0,1.0
3194,1,1,1.0,1.0,1.0
3221,1,1,1.0,1.0,1.0
3248,1,1,1.0,1.0,1.0
3276,1,1,1.0,1.0,1.0
3303,1,1,1.0,1.0,1.0
3330,1,1,1.0,1.0,1.0
3357,1,1,1.0,1.0,1.0
3385,1,1,1.0,1.0,1.0
3412,1,1,1.0,1.0,1.0
3439,1,1,1.0,1.0,1.0
3467,1,1,1.0,1.0,1.0
3494,1,1,1.0,1.0,1.0
3521,1,1,1.0,1.0,1.0
3549,1,1,1.0,1.0,1.0
3576,1,1,1.0,1.0,1.0
3603,1,1,1.0,1.0,1.0
3630,1,1,1.0,1.0,1.0
3658,1,1,1.0,1.0,1.0
3685,1,1,1.0,1.0,1.0
3712,1,1,1.0,1.0,1.0
3740,1,1,1.0,1.0,1.0
3767,1,1,1.0,1.0,1.0
3794,9,9,1.0,1.0,1.0
3822,9,9,1.0,1.0,1.0
3849,9,9,1.0,1.0,1.0
3876,16,13,0.9996337890625,0.8125,1.0
3903,16,13,0.9996337890625,0.8125,1.0
3931,16,13,0.9996337890625,0.8125,1.0
3958,24,22,0.999755859375,0.9166666666666666,1.0
3985,24,22,0.999755859375,0.9166666666666666,1.0
4013,24,22,0.999755859375,0.9166666666666666,1.0
4040,40,38,0.999755859375,0.95,1.0
4067,41,39,0.999755859375,0.9512195121951219,1.0
4095,41,39,0.999755859375,0.9512195121951219,1.0
4122,65,62,0.9996337890625,0.9538461538461539,1.0
4149,67,63,0.99951171875,0.9402985074626866,1.0
4176,67,63,0.99951171875,0.9402985074626866,1.0
4204,95,89,0.999267578125,0.9368421052631579,1.0
4231,101,94,0.9991455078125,0.9306930693069307,1.0
4258,102,101,0.9986572265625,0.9411764705882353,0.9993819530284301
4286,125,117,0.9990234375,0.936,1.0
4313,128,122,0.999267578125,0.953125,1.0
4340,134,130,0.999267578125,0.9626865671641791,0.9998758997269794
4368,168,160,0.9990234375,0.9523809523809523,1.0
4395,170,165,0.9989013671875,0.9588235294117647,0.9997506856145599
4422,172,175,0.9979248046875,0.9593023255813954,0.9987531172069826
4449,221,212,0.9984130859375,0.9502262443438914,0.9997490904528917
4477,226,217,0.9989013671875,0.9601769911504425,1.0
4504,228,229,0.9979248046875,0.9649122807017544,0.998869914615771
4531,273,261,0.99755859375,0.9413919413919414,0.9994948857178937
4559,287,262,0.9969482421875,0.9128919860627178,1.0
4586,294,282,0.996337890625,0.9285714285714286,0.9988604710053178
4613,342,314,0.99658203125,0.9181286549707602,1.0
4641,345,332,0.9979248046875,0.9565217391304348,0.9997451255256786
4668,360,353,0.9957275390625,0.9416666666666667,0.9982124616956077
4695,424,393,0.9962158203125,0.9268867924528302,1.0
4722,427,399,0.996337890625,0.9320843091334895,0.9998712169993561
4750,431,404,0.9964599609375,0.9350348027842227,0.9998711506249195
4777,502,471,0.9959716796875,0.9362549800796812,0.9998699609882965
4804,512,486,0.99609375,0.943359375,0.999609375
4832,515,501,0.9951171875,0.9475728155339805,0.9983066301940863
4859,587,550,0.9945068359375,0.9301533219761499,0.999474030243261
4886,604,562,0.99462890625,0.9288079470198676,0.999868212967844
4914,616,587,0.9942626953125,0.9383116883116883,0.9988120380147836
4941,670,633,0.9954833984375,0.9447761194029851,1.0
4968,678,647,0.9957275390625,0.9513274336283186,0.9997338301836571
4995,696,666,0.994873046875,0.9482758620689655,0.9991995731056563
5023,756,720,0.994140625,0.9444444444444444,0.99919311457773
5050,761,725,0.99462890625,0.9474375821287779,0.9994617144395102
5077,768,730,0.994873046875,0.9479166666666666,0.9997306034482759
5105,828,778,0.9912109375,0.9263285024154589,0.9985062466051059
5132,843,797,0.9921875,0.9347568208778173,0.9987753435841611
5159,844,798,0.9921875,0.9348341232227488,0.9987751769188895
5187,882,832,0.98974609375,0.9240362811791383,0.9976744186046511
5214,899,844,0.9898681640625,0.9232480533926585,0.9980803510215275
5241,915,861,0.991943359375,0.9344262295081968,0.9991754844029133
5268,942,886,0.989013671875,0.9225053078556263,0.9976551724137931
5296,951,895,0.99072265625,0.9305993690851735,0.9986189752796575
5323,967,906,0.9903564453125,0.9276111685625646,0.9987543252595156
5350,1005,945,0.99072265625,0.9323383084577115,0.9988868790872408
5378,1009,949,0.990478515625,0.931615460852329,0.9987470416260615
5405,1018,957,0.9913330078125,0.9351669941060904,0.9993030387510454
5432,1048,976,0.987548828125,0.9169847328244275,0.9979003359462486
5460,1069,1003,0.989501953125,0.9289055191768008,0.9985960971500772
5487,1070,1003,0.9893798828125,0.9280373831775701,0.998595900028082
5514,1075,1008,0.9876708984375,0.9218604651162791,0.9976113530982156
5541,1080,1011,0.9896240234375,0.9287037037037037,0.9988751406074241
5569,1080,1011,0.9910888671875,0.9342592592592592,0.999718785151856
5596,1080,1011,0.9906005859375,0.9324074074074075,0.999437570303712
5623,1080,1011,0.9913330078125,0.9351851851851852,0.999859392575928
5651,1080,1011,0.9913330078125,0.9351851851851852,0.999859392575928
5678,1080,1011,0.9913330078125,0.9351851851851852,0.999859392575928
5705,1080,1011,0.9906005859375,0.9324074074074075,0.999437570303712
5733,1080,1011,0.9915771484375,0.9361111111111111,1.0
5760,1080,1011,0.9915771484375,0.9361111111111111,1.0
5787,1080,1011,0.9915771484375,0.9361111111111111,1.0
5814,1080,1011,0.9915771484375,0.9361111111111111,1.0
5842,1080,1011,0.9915771484375,0.9361111111111111,1.0
5869,1080,1011,0.9915771484375,0.9361111111111111,1.0
5896,1080,1011,0.9915771484375,0.9361111111111111,1.0
5924,1080,1011,0.9915771484375,0.9361111111111111,1.0
5951,1080,1011,0.9915771484375,0.9361111111111111,1.0
5978,1080,1011,0.9915771484375,0.9361111111111111,1.0
6006,1080,1011,0.9915771484375,0.9361111111111111,1.0
6033,1080,1011,0.9915771484375,0.9361111111111111,1.0
6060,1080,1011,0.9915771484375,0.9361111111111111,1.0
6087,1080,1011,0.9915771484375,0.9361111111111111,1.0
6115,1080,1011,0.9915771484375,0.9361111111111111,1.0
6142,1080,1011,0.9913330078125,0.9351851851851852,0.999859392575928
6169,1080,1011,0.9913330078125,0.9351851851851852,0.999859392575928
6197,1080,1011,0.9915771484375,0.9361111111111111,1.0
6224,1080,1011,0.9908447265625,0.9333333333333333,0.999578177727784
6251,1080,1011,0.9903564453125,0.9314814814814815,0.9992969628796401
6279,1080,1011,0.9903564453125,0.9314814814814815,0.9992969628796401
6306,1080,1011,0.9908447265625,0.9333333333333333,0.999578177727784
6333,1080,1011,0.9906005859375,0.9324074074074075,0.999437570303712
6360,1080,1011,0.9908447265625,0.9333333333333333,0.999578177727784
6388,1080,1011,0.9906005859375,0.9324074074074075,0.999437570303712
6415,1080,1011,0.9898681640625,0.9296296296296296,0.9990157480314961
6442,1080,1011,0.9908447265625,0.9333333333333333,0.999578177727784
6470,1080,1011,0.9913330078125,0.9351851851851852,0.999859392575928
6497,1080,1011,0.9915771484375,0.9361111111111111,1.0
6524,1080,1011,0.9903564453125,0.9314814814814815,0.9992969628796401
6552,1080,1011,0.9901123046875,0.9305555555555556,0.999156355455568
6579,1080,1011,0.9908447265625,0.9333333333333333,0.999578177727784
6606,1080,1011,0.9906005859375,0.9324074074074075,0.999437570303712
6633,1080,1011,0.9908447265625,0.9333333333333333,0.999578177727784
6661,1080,1011,0.9906005859375,0.9324074074074075,0.999437570303712
6688,1080,1011,0.9908447265625,0.9333333333333333,0.999578177727784
6715,1080,1011,0.9913330078125,0.9351851851851852,0.999859392575928
6743,1080,1011,0.9915771484375,0.9361111111111111,1.0
6770,1080,1011,0.9910888671875,0.9342592592592592,0.999718785151856
6797,1080,1011,0.9913330078125,0.9351851851851852,0.999859392575928
6825,1080,1011,0.9913330078125,0.9351851851851852,0.999859392575928
6852,1080,1011,0.9906005859375,0.9324074074074075,0.999437570303712
6879,1080,1011,0.9906005859375,0.9324074074074075,0.999437570303712
6906,1080,1011,0.9915771484375,0.9361111111111111,1.0
6934,1080,1011,0.9915771484375,0.9361111111111111,1.0
6961,1080,1011,0.9915771484375,0.9361111111111111,1.0
6988,1080,1011,0.9915771484375,0.9361111111111111,1.0
7016,1080,1011,0.9915771484375,0.9361111111111111,1.0
7043,1080,1011,0.9915771484375,0.9361111111111111,1.0
7070,1080,1011,0.9915771484375,0.9361111111111111,1.0
7098,1080,1011,0.9915771484375,0.9361111111111111,1.0
7125,1080,1011,0.9915771484375,0.9361111111111111,1.0
7152,1080,1011,0.9915771484375,0.9361111111111111,1.0
7179,1080,1011,0.9913330078125,0.9351851851851852,0.999859392575928
7207,1080,1011,0.9913330078125,0.9351851851851852,0.999859392575928
7234,1080,1011,0.9915771484375,0.9361111111111111,1.0
7261,1080,1011,0.9910888671875,0.9342592592592592,0.999718785151856
7289,1080,1011,0.9913330078125,0.9351851851851852,0.999859392575928
7316,1080,1011,0.9913330078125,0.9351851851851852,0.999859392575928
7343,1080,1011,0.9915771484375,0.9361111111111111,1.0
7371,1080,1011,0.9915771484375,0.9361111111111111,1.0
7398,1080,1011,0.9915771484375,0.9361111111111111,1.0
7425,1080,1011,0.9901123046875,0.9305555555555556,0.999156355455568
7452,1080,1011,0.9915771484375,0.9361111111111111,1.0
7480,1080,1011,0.9913330078125,0.9351851851851852,0.999859392575928
7507,1080,1011,0.9915771484375,0.9361111111111111,1.0
7534,1080,1011,0.9915771484375,0.9361111111111111,1.0
7562,1080,1011,0.9915771484375,0.9361111111111111,1.0
7589,1086,1019,0.9918212890625,0.9383057090239411,1.0
7616,1086,1019,0.9918212890625,0.9383057090239411,1.0
7644,1086,1019,0.9918212890625,0.9383057090239411,1.0
7671,1094,1027,0.9918212890625,0.9387568555758684,1.0
7698,1094,1027,0.9918212890625,0.9387568555758684,1.0
7725,1094,1027,0.9918212890625,0.9387568555758684,1.0
7753,1101,1034,0.9918212890625,0.9391462306993642,1.0
7780,1101,1034,0.9918212890625,0.9391462306993642,1.0
7807,1101,1034,0.9918212890625,0.9391462306993642,1.0
7835,1104,1037,0.9918212890625,0.9393115942028986,1.0
7862,1108,1041,0.9918212890625,0.9395306859205776,1.0
7889,1108,1041,0.9918212890625,0.9395306859205776,1.0
7917,1109,1042,0.9918212890625,0.939585211902615,1.0
7944,1112,1045,0.9918212890625,0.939748201438849,1.0
7971,1115,1047,0.99169921875,0.9390134529147982,1.0
7998,1116,1048,0.99169921875,0.9390681003584229,1.0
8026,1116,1048,0.99169921875,0.9390681003584229,1.0
8053,1119,1055,0.991455078125,0.9401251117068812,0.9995758518309062
8080,1122,1061,0.9906005859375,0.9385026737967914,0.9988684582743989
8108,1123,1068,0.9898681640625,0.9385574354407836,0.998019521855991
8135,1123,1072,0.9893798828125,0.9385574354407836,0.9974536709577027
8162,1126,1076,0.988525390625,0.9360568383658969,0.996886498726295
8190,1129,1082,0.9879150390625,0.9353410097431355,0.9963188446835622
8217,1130,1091,0.9879150390625,0.9389380530973451,0.9957519116397621
8244,1130,1097,0.9876708984375,0.9407079646017699,0.9951854998583971
8271,1133,1104,0.9871826171875,0.940864960282436,0.9946168012466355
8299,1136,1111,0.9864501953125,0.9401408450704225,0.99390589569161
8326,1137,1117,0.986572265625,0.9428320140721196,0.9936215450035436
8353,1137,1117,0.986572265625,0.9428320140721196,0.9936215450035436
8381,1140,1121,0.9866943359375,0.9438596491228071,0.9936188315371526
8408,1144,1126,0.986328125,0.9431818181818182,0.9933314415437003
8435,1144,1127,0.9862060546875,0.9431818181818182,0.9931895573212258
8463,1144,1129,0.9859619140625,0.9431818181818182,0.992905788876277
8490,1148,1136,0.98583984375,0.9442508710801394,0.9926178307779671
8517,1151,1140,0.9854736328125,0.9435273675065161,0.9923306348530039
8544,1151,1142,0.9852294921875,0.9435273675065161,0.992046584292004
8572,1152,1144,0.98486328125,0.9427083333333334,0.9917613636363637
8599,1155,1148,0.9849853515625,0.9437229437229437,0.9917578513571124
8626,1158,1151,0.9849853515625,0.9438687392055267,0.991754336081888
8654,1160,1153,0.9849853515625,0.9439655172413793,0.9917519908987485
8681,1160,1153,0.9849853515625,0.9439655172413793,0.9917519908987485
8708,1163,1156,0.9849853515625,0.944110060189166,0.99174847062171
8736,1170,1161,0.9847412109375,0.9427350427350427,0.9917402449444602
8763,1170,1161,0.9847412109375,0.9427350427350427,0.9917402449444602
8790,1170,1161,0.9847412109375,0.9427350427350427,0.9917402449444602
8817,1174,1165,0.9847412109375,0.9429301533219762,0.9917355371900827
