time,fireArea,predictedFireArea,precision
2183,5226,4239,0.8111366245694603
2211,5226,4303,0.8233830845771144
2238,5491,4485,0.8167911127299217
2265,5491,4552,0.828992897468585
2293,5768,4727,0.8195214979195562
2320,5768,4781,0.8288834951456311
2347,6035,4952,0.8205468102734051
2375,6035,5013,0.8306545153272576
2402,6304,5171,0.8202728426395939
2429,6304,5216,0.8274111675126904
2457,6568,5367,0.8171437271619976
2484,6568,5439,0.8281059683313033
2511,6857,5608,0.8178503718827476
2538,6857,5678,0.8280589178941228
2566,7119,5856,0.8225874420564686
2593,7119,5947,0.835370136255092
2620,7404,6129,0.8277957860615883
2648,7404,6182,0.8349540788762831
2675,7678,6356,0.8278197447251888
2702,7678,6426,0.8369367022662152
2730,7964,6635,0.8331240582621798
2757,7964,6729,0.8449271722752386
2784,8239,6945,0.8429421046243476
2811,8239,7016,0.8515596552979731
2839,8530,7224,0.8468933177022274
2866,8530,7288,0.8543962485345838
2893,8828,7492,0.8486633439057544
2921,8828,7551,0.8553466243769823
2948,9113,7749,0.8503237133764951
2975,9113,7854,0.861845714912762
3003,9433,8063,0.854765186048977
3030,9433,8147,0.8636700943496236
3057,9714,8336,0.8581428865554869
3084,9714,8439,0.8687461395923409
3112,10021,8636,0.8617902404949606
3139,10021,8715,0.869673685260952
3166,10329,8904,0.8620389195469068
3194,10329,9010,0.8723012876367509
3221,10660,9230,0.8658536585365854
3248,10660,9342,0.876360225140713
3276,10975,9595,0.874259681093394
3303,10975,9738,0.8872892938496583
3330,11237,9933,0.883954792204325
3357,11237,10028,0.8924090059624455
3385,11474,10210,0.8898378943698797
3412,11474,10318,0.8992504793446052
3439,11718,10502,0.8962280252602833
3467,11718,10626,0.9068100358422939
3494,11945,10812,0.9051485977396401
3521,11945,10939,0.9157806613645877
3549,12148,11155,0.9182581494896279
3576,12148,11265,0.9273131379650972
3603,12356,11438,0.9257041113629007
3630,12356,11568,0.9362253156361282
3658,12600,11745,0.9321428571428572
3685,12600,11834,0.9392063492063492
3712,12720,11936,0.9383647798742139
3740,12720,12035,0.9461477987421384
3767,12823,12133,0.9461904390548234
3794,12823,12217,0.9527411682133666
3822,12914,12309,0.9531516183986372
3849,12914,12389,0.9593464457178256
3876,12990,12462,0.9593533487297922
3903,12990,12517,0.9635873749037721
3931,13080,12581,0.9618501529051988
3958,13080,12627,0.9653669724770643
3985,13142,12675,0.9644650738091615
4013,13142,12721,0.9679653020849186
4040,13197,12765,0.9672652875653558
4067,13197,12796,0.9696143062817307
4095,13256,12847,0.9691460470730235
4122,13256,12876,0.9713337356668679
4149,13296,12897,0.9699909747292419
4176,13296,12924,0.9720216606498195
4204,13354,12950,0.9697468923169088
4231,13354,12955,0.970121311966452
4258,13396,12979,0.9688713048671245
4286,13396,12985,0.9693191997611227
4313,13437,13002,0.9676267023889261
4340,13437,13012,0.9683709161271117
4368,13471,13021,0.9665949075792443
4395,13471,13028,0.9671145423502339
4422,13517,13048,0.9653029518384257
4449,13517,13064,0.9664866464452171
4477,13558,13088,0.9653341200767075
4504,13558,13092,0.9656291488420121
4531,13599,13107,0.9638208691815575
4559,13599,13110,0.9640414736377675
4586,13648,13133,0.9622655334114889
4613,13648,13137,0.9625586166471278
4641,13701,13160,0.9605138311072184
4668,13701,13166,0.960951755346325
4695,13734,13180,0.9596621523227028
4722,13734,13188,0.9602446483180428
4750,13770,13195,0.958242556281772
4777,13770,13202,0.9587509077705156
4804,13798,13210,0.9573851282794608
4832,13798,13228,0.958689665168865
4859,13827,13239,0.9574745064005207
4886,13827,13252,0.9584146958848629
4914,13847,13258,0.9574637105510219
4941,13847,13265,0.9579692352134036
4968,13870,13270,0.9567411679884643
4995,13870,13270,0.9567411679884643
5023,13885,13274,0.9559956787900612
5050,13885,13277,0.9562117392870003
5077,13890,13279,0.9560115190784737
5105,13890,13279,0.9560115190784737
5132,13890,13280,0.9560835133189345
5159,13890,13280,0.9560835133189345
5187,13893,13283,0.956092996473044
