time,fireArea,predictedFireArea,accuracy,sensitivity,specificity
0,1,1,1.0,1.0,1.0
27,1,1,1.0,1.0,1.0
54,1,1,1.0,1.0,1.0
81,1,1,1.0,1.0,1.0
109,1,1,1.0,1.0,1.0
136,1,1,1.0,1.0,1.0
163,1,1,1.0,1.0,1.0
191,1,1,1.0,1.0,1.0
218,1,1,1.0,1.0,1.0
245,1,1,1.0,1.0,1.0
273,1,1,1.0,1.0,1.0
300,1,1,1.0,1.0,1.0
327,1,1,1.0,1.0,1.0
354,1,1,1.0,1.0,1.0
382,1,1,1.0,1.0,1.0
409,1,1,1.0,1.0,1.0
436,1,1,1.0,1.0,1.0
464,1,1,1.0,1.0,1.0
491,1,1,1.0,1.0,1.0
518,1,1,1.0,1.0,1.0
546,1,1,1.0,1.0,1.0
573,1,1,1.0,1.0,1.0
600,1,1,1.0,1.0,1.0
627,1,1,1.0,1.0,1.0
655,1,1,1.0,1.0,1.0
682,1,1,1.0,1.0,1.0
709,1,1,1.0,1.0,1.0
737,1,1,1.0,1.0,1.0
764,1,1,1.0,1.0,1.0
791,1,1,1.0,1.0,1.0
818,1,1,1.0,1.0,1.0
846,1,1,1.0,1.0,1.0
873,1,1,1.0,1.0,1.0
900,1,1,1.0,1.0,1.0
928,1,1,1.0,1.0,1.0
955,1,1,1.0,1.0,1.0
982,1,1,1.0,1.0,1.0
1010,1,1,1.0,1.0,1.0
1037,1,1,1.0,1.0,1.0
1064,1,1,1.0,1.0,1.0
1091,1,1,1.0,1.0,1.0
1119,1,1,1.0,1.0,1.0
1146,1,1,1.0,1.0,1.0
1173,1,1,1.0,1.0,1.0
1201,1,1,1.0,1.0,1.0
1228,1,1,1.0,1.0,1.0
1255,1,1,1.0,1.0,1.0
1283,1,1,1.0,1.0,1.0
1310,1,1,1.0,1.0,1.0
1337,1,1,1.0,1.0,1.0
1364,1,1,1.0,1.0,1.0
1392,1,1,1.0,1.0,1.0
1419,1,1,1.0,1.0,1.0
1446,1,1,1.0,1.0,1.0
1474,1,1,1.0,1.0,1.0
1501,1,1,1.0,1.0,1.0
1528,1,1,1.0,1.0,1.0
1556,1,1,1.0,1.0,1.0
1583,1,1,1.0,1.0,1.0
1610,1,1,1.0,1.0,1.0
1637,1,1,1.0,1.0,1.0
1665,1,1,1.0,1.0,1.0
1692,1,1,1.0,1.0,1.0
1719,1,1,1.0,1.0,1.0
1747,1,1,1.0,1.0,1.0
1774,1,1,1.0,1.0,1.0
1801,1,1,1.0,1.0,1.0
1829,1,1,1.0,1.0,1.0
1856,1,1,1.0,1.0,1.0
1883,1,1,1.0,1.0,1.0
1910,1,1,1.0,1.0,1.0
1938,1,1,1.0,1.0,1.0
1965,1,1,1.0,1.0,1.0
1992,1,1,1.0,1.0,1.0
2020,1,1,1.0,1.0,1.0
2047,1,1,1.0,1.0,1.0
2074,1,1,1.0,1.0,1.0
2102,1,1,1.0,1.0,1.0
2129,1,1,1.0,1.0,1.0
2156,1,1,1.0,1.0,1.0
2183,1,1,1.0,1.0,1.0
2211,1,1,1.0,1.0,1.0
2238,1,1,1.0,1.0,1.0
2265,1,1,1.0,1.0,1.0
2293,1,1,1.0,1.0,1.0
2320,1,1,1.0,1.0,1.0
2347,1,1,1.0,1.0,1.0
2375,1,1,1.0,1.0,1.0
2402,1,1,1.0,1.0,1.0
2429,1,1,1.0,1.0,1.0
2457,1,1,1.0,1.0,1.0
2484,1,1,1.0,1.0,1.0
2511,1,1,1.0,1.0,1.0
2538,1,1,1.0,1.0,1.0
2566,1,1,1.0,1.0,1.0
2593,1,1,1.0,1.0,1.0
2620,1,1,1.0,1.0,1.0
2648,1,1,1.0,1.0,1.0
2675,1,1,1.0,1.0,1.0
2702,1,1,1.0,1.0,1.0
2730,1,1,1.0,1.0,1.0
2757,1,1,1.0,1.0,1.0
2784,1,1,1.0,1.0,1.0
2811,1,1,1.0,1.0,1.0
2839,1,1,1.0,1.0,1.0
2866,1,1,1.0,1.0,1.0
2893,1,1,1.0,1.0,1.0
2921,1,1,1.0,1.0,1.0
2948,1,1,1.0,1.0,1.0
2975,1,1,1.0,1.0,1.0
3003,1,1,1.0,1.0,1.0
3030,1,1,1.0,1.0,1.0
3057,1,1,1.0,1.0,1.0
3084,1,1,1.0,1.0,1.0
3112,1,1,1.0,1.0,1.0
3139,1,1,1.0,1.0,1.0
3166,1,1,1.0,1.0,1.0
3194,1,1,1.0,1.0,1.0
3221,1,1,1.0,1.0,1.0
3248,1,1,1.0,1.0,1.0
3276,1,1,1.0,1.0,1.0
3303,1,1,1.0,1.0,1.0
3330,1,1,1.0,1.0,1.0
3357,1,1,1.0,1.0,1.0
3385,1,1,1.0,1.0,1.0
3412,1,1,1.0,1.0,1.0
3439,1,1,1.0,1.0,1.0
3467,1,1,1.0,1.0,1.0
3494,1,1,1.0,1.0,1.0
3521,1,1,1.0,1.0,1.0
3549,1,1,1.0,1.0,1.0
3576,1,1,1.0,1.0,1.0
3603,1,1,1.0,1.0,1.0
3630,1,1,1.0,1.0,1.0
3658,1,1,1.0,1.0,1.0
3685,1,1,1.0,1.0,1.0
3712,1,1,1.0,1.0,1.0
3740,1,1,1.0,1.0,1.0
3767,1,1,1.0,1.0,1.0
3794,9,1,0.998046875,0.1111111111111111,1.0
3822,9,1,0.998046875,0.1111111111111111,1.0
3849,9,1,0.998046875,0.1111111111111111,1.0
3876,16,1,0.996337890625,0.0625,1.0
3903,16,1,0.996337890625,0.0625,1.0
3931,16,1,0.996337890625,0.0625,1.0
3958,24,1,0.994384765625,0.041666666666666664,1.0
3985,24,1,0.994384765625,0.041666666666666664,1.0
4013,24,1,0.994384765625,0.041666666666666664,1.0
4040,40,1,0.990478515625,0.025,1.0
4067,41,1,0.990234375,0.024390243902439025,1.0
4095,41,1,0.990234375,0.024390243902439025,1.0
4122,65,1,0.984375,0.015384615384615385,1.0
4149,67,1,0.98388671875,0.014925373134328358,1.0
4176,67,1,0.98388671875,0.014925373134328358,1.0
4204,95,1,0.97705078125,0.010526315789473684,1.0
4231,101,1,0.9755859375,0.009900990099009901,1.0
4258,102,1,0.975341796875,0.00980392156862745,1.0
4286,125,1,0.9697265625,0.008,1.0
4313,128,1,0.968994140625,0.0078125,1.0
4340,134,1,0.967529296875,0.007462686567164179,1.0
4368,168,1,0.959228515625,0.005952380952380952,1.0
4395,170,1,0.959228515625,0.005952380952380952,1.0
4422,172,1,0.958740234375,0.0058823529411764705,1.0
4449,221,1,0.94677734375,0.0045662100456621,1.0
4477,226,1,0.946044921875,0.0045045045045045045,1.0
4504,228,1,0.945556640625,0.004464285714285714,1.0
4531,273,1,0.9345703125,0.0037174721189591076,1.0
4559,287,1,0.932861328125,0.0036231884057971015,1.0
4586,294,1,0.93115234375,0.0035335689045936395,1.0
4613,342,1,0.91943359375,0.0030211480362537764,1.0
4641,345,1,0.92236328125,0.003134796238244514,1.0
4668,360,1,0.9189453125,0.003003003003003003,1.0
4695,424,1,0.9033203125,0.0025188916876574307,1.0
4722,427,1,0.907470703125,0.002631578947368421,1.0
4750,431,1,0.90673828125,0.0026109660574412533,1.0
4777,502,1,0.889404296875,0.0022026431718061676,1.0
4804,512,1,0.889892578125,0.0022123893805309734,1.0
4832,515,1,0.889404296875,0.0022026431718061676,1.0
4859,587,1,0.871826171875,0.0019011406844106464,1.0
4886,604,1,0.87060546875,0.0018832391713747645,1.0
4914,616,1,0.867919921875,0.0018450184501845018,1.0
4941,670,1,0.854736328125,0.0016778523489932886,1.0
4968,678,1,0.858154296875,0.001718213058419244,1.0
4995,696,1,0.853759765625,0.0016666666666666668,1.0
5023,756,1,0.839111328125,0.0015151515151515152,1.0
5050,761,1,0.844970703125,0.0015723270440251573,1.0
5077,768,1,0.84326171875,0.0015552099533437014,1.0
5105,828,1,0.828857421875,0.0014245014245014246,1.0
5132,843,1,0.832763671875,0.0014577259475218659,1.0
5159,844,1,0.83251953125,0.001455604075691412,1.0
5187,882,1,0.8232421875,0.001379310344827586,1.0
5214,899,1,0.828857421875,0.0014245014245014246,1.0
5241,915,1,0.8251953125,0.001394700139470014,1.0
5268,942,1,0.819091796875,0.0013477088948787063,1.0
5296,951,1,0.82861328125,0.001422475106685633,1.0
5323,967,1,0.824951171875,0.001392757660167131,1.0
5350,1005,1,0.816162109375,0.001326259946949602,1.0
5378,1009,1,0.8271484375,0.0014104372355430183,1.0
5405,1018,1,0.8251953125,0.001394700139470014,1.0
5432,1048,1,0.818359375,0.0013422818791946308,1.0
5460,1069,1,0.8271484375,0.0014104372355430183,1.0
5487,1070,1,0.8271484375,0.0014104372355430183,1.0
5514,1075,1,0.826416015625,0.0014044943820224719,1.0
5541,1080,1,0.8349609375,0.0014771048744460858,1.0
5569,1080,1,0.835693359375,0.001483679525222552,1.0
5596,1080,1,0.8359375,0.0014858841010401188,1.0
5623,1080,1,0.844482421875,0.001567398119122257,1.0
5651,1080,1,0.8447265625,0.0015698587127158557,1.0
5678,1080,1,0.8447265625,0.0015698587127158557,1.0
5705,1080,1,0.852294921875,0.0016501650165016502,1.0
5733,1080,1,0.852294921875,0.0016501650165016502,1.0
5760,1080,1,0.852294921875,0.0016501650165016502,1.0
5787,1080,1,0.8583984375,0.0017211703958691911,1.0
5814,1080,1,0.8583984375,0.0017211703958691911,1.0
5842,1080,1,0.8583984375,0.0017211703958691911,1.0
5869,1080,1,0.863525390625,0.0017857142857142857,1.0
5896,1080,1,0.863525390625,0.0017857142857142857,1.0
5924,1080,1,0.863525390625,0.0017857142857142857,1.0
5951,1080,1,0.86669921875,0.0018281535648994515,1.0
5978,1080,1,0.86669921875,0.0018281535648994515,1.0
6006,1080,1,0.86669921875,0.0018281535648994515,1.0
6033,1080,1,0.8681640625,0.0,1.0
6060,1080,1,0.8681640625,0.0,1.0
6087,1080,1,0.8681640625,0.0,1.0
6115,1080,1,0.869140625,0.0,1.0
6142,1080,1,0.869384765625,0.0,1.0
6169,1080,1,0.869384765625,0.0,1.0
6197,1080,1,0.8701171875,0.0,1.0
6224,1080,1,0.871337890625,0.0,1.0
6251,1080,1,0.87158203125,0.0,1.0
6279,1080,1,0.8720703125,0.0,1.0
6306,1080,1,0.87255859375,0.0,1.0
6333,1080,1,0.8740234375,0.0,1.0
6360,1080,1,0.875244140625,0.0,1.0
6388,1080,1,0.875732421875,0.0,1.0
6415,1080,1,0.876220703125,0.0,1.0
6442,1080,1,0.879638671875,0.0,1.0
6470,1080,1,0.880859375,0.0,1.0
6497,1080,1,0.881103515625,0.0,1.0
6524,1080,1,0.882080078125,0.0,1.0
6552,1080,1,0.885498046875,0.0,1.0
6579,1080,1,0.88720703125,0.0,1.0
6606,1080,1,0.887939453125,0.0,1.0
6633,1080,1,0.888427734375,0.0,1.0
6661,1080,1,0.8916015625,0.0,1.0
6688,1080,1,0.8935546875,0.0,1.0
6715,1080,1,0.89404296875,0.0,1.0
6743,1080,1,0.89453125,0.0,1.0
6770,1080,1,0.898681640625,0.0,1.0
6797,1080,1,0.90087890625,0.0,1.0
6825,1080,1,0.901123046875,0.0,1.0
6852,1080,1,0.90283203125,0.0,1.0
6879,1080,1,0.90673828125,0.0,1.0
6906,1080,1,0.9091796875,0.0,1.0
6934,1080,1,0.91015625,0.0,1.0
6961,1080,1,0.911376953125,0.0,1.0
6988,1080,1,0.915283203125,0.0,1.0
7016,1080,1,0.918701171875,0.0,1.0
7043,1080,1,0.919189453125,0.0,1.0
7070,1080,1,0.920654296875,0.0,1.0
7098,1080,1,0.925048828125,0.0,1.0
7125,1080,1,0.9287109375,0.0,1.0
7152,1080,1,0.928955078125,0.0,1.0
7179,1080,1,0.93115234375,0.0,1.0
7207,1080,1,0.935302734375,0.0,1.0
7234,1080,1,0.939208984375,0.0,1.0
7261,1080,1,0.93994140625,0.0,1.0
7289,1080,1,0.942138671875,0.0,1.0
7316,1080,1,0.946044921875,0.0,1.0
7343,1080,1,0.951171875,0.0,1.0
7371,1080,1,0.9521484375,0.0,1.0
7398,1080,1,0.954345703125,0.0,1.0
7425,1080,1,0.959716796875,0.0,1.0
7452,1080,1,0.96484375,0.0,1.0
7480,1080,1,0.965087890625,0.0,1.0
7507,1080,1,0.96630859375,0.0,1.0
7534,1080,1,0.967529296875,0.0,1.0
7562,1080,1,0.967529296875,0.0,1.0
7589,1086,1,0.966064453125,0.0,1.0
7616,1086,1,0.966064453125,0.0,1.0
7644,1086,1,0.966064453125,0.0,1.0
7671,1094,1,0.964111328125,0.0,1.0
7698,1094,1,0.964111328125,0.0,1.0
7725,1094,1,0.964111328125,0.0,1.0
7753,1101,1,0.96240234375,0.0,1.0
7780,1101,1,0.96240234375,0.0,1.0
7807,1101,1,0.96240234375,0.0,1.0
7835,1104,1,0.961669921875,0.0,1.0
7862,1108,1,0.960693359375,0.0,1.0
7889,1108,1,0.960693359375,0.0,1.0
7917,1109,1,0.96044921875,0.0,1.0
7944,1112,1,0.959716796875,0.0,1.0
7971,1115,1,0.958984375,0.0,1.0
7998,1116,1,0.958740234375,0.0,1.0
8026,1116,1,0.958740234375,0.0,1.0
8053,1119,1,0.9580078125,0.0,1.0
8080,1122,1,0.957275390625,0.0,1.0
8108,1123,1,0.95703125,0.0,1.0
8135,1123,1,0.95703125,0.0,1.0
8162,1126,1,0.956298828125,0.0,1.0
8190,1129,1,0.95654296875,0.0,1.0
8217,1130,1,0.956298828125,0.0,1.0
8244,1130,1,0.956298828125,0.0,1.0
8271,1133,1,0.957275390625,0.0,1.0
8299,1136,1,0.95654296875,0.0,1.0
8326,1137,1,0.956298828125,0.0,1.0
8353,1137,1,0.956787109375,0.0,1.0
8381,1140,1,0.9560546875,0.0,1.0
8408,1144,1,0.955078125,0.0,1.0
8435,1144,1,0.955322265625,0.0,1.0
8463,1144,1,0.955322265625,0.0,1.0
8490,1148,1,0.954345703125,0.0,1.0
8517,1151,1,0.953857421875,0.0,1.0
8544,1151,1,0.953857421875,0.0,1.0
8572,1152,1,0.95361328125,0.0,1.0
8599,1155,1,0.952880859375,0.0,1.0
8626,1158,1,0.9521484375,0.0,1.0
8654,1160,1,0.95166015625,0.0,1.0
8681,1160,1,0.95166015625,0.0,1.0
8708,1163,1,0.950927734375,0.0,1.0
8736,1170,1,0.94921875,0.0,1.0
8763,1170,1,0.94921875,0.0,1.0
8790,1170,1,0.94921875,0.0,1.0
8817,1174,1,0.9482421875,0.0,1.0
8845,1177,1,0.947509765625,0.0,1.0
8872,1177,1,0.947509765625,0.0,1.0
8899,1177,1,0.947509765625,0.0,1.0
8927,1180,1,0.947021484375,0.0,1.0
8954,1183,1,0.9462890625,0.0,1.0
8981,1183,1,0.9462890625,0.0,1.0
9009,1183,1,0.946533203125,0.0,1.0
9036,1186,1,0.94580078125,0.0,1.0
9063,1186,1,0.94580078125,0.0,1.0
9090,1186,1,0.946044921875,0.0,1.0
9118,1186,1,0.946044921875,0.0,1.0
9145,1186,1,0.946044921875,0.0,1.0
9172,1186,1,0.9462890625,0.0,1.0
9200,1186,1,0.9462890625,0.0,1.0
9227,1186,1,0.9462890625,0.0,1.0
9254,1186,1,0.94677734375,0.0,1.0
9282,1186,1,0.94677734375,0.0,1.0
9309,1186,1,0.94677734375,0.0,1.0
9336,1186,1,0.94775390625,0.0,1.0
9363,1186,1,0.94775390625,0.0,1.0
9391,1186,1,0.94775390625,0.0,1.0
9418,1186,1,0.947998046875,0.0,1.0
9445,1186,1,0.947998046875,0.0,1.0
9473,1186,1,0.947998046875,0.0,1.0
9500,1186,1,0.947998046875,0.0,1.0
9527,1186,1,0.947998046875,0.0,1.0
9555,1186,1,0.947998046875,0.0,1.0
9582,1186,1,0.947998046875,0.0,1.0
9609,1186,1,0.947998046875,0.0,1.0
9636,1186,1,0.947998046875,0.0,1.0
9664,1186,1,0.9482421875,0.0,1.0
9691,1186,1,0.9482421875,0.0,1.0
9718,1186,1,0.9482421875,0.0,1.0
9746,1186,1,0.949462890625,0.0,1.0
9773,1186,1,0.949462890625,0.0,1.0
9800,1186,1,0.950927734375,0.0,1.0
9827,1186,1,0.951416015625,0.0,1.0
9855,1186,1,0.952392578125,0.0,1.0
9882,1186,1,0.95361328125,0.0,1.0
9909,1186,1,0.95361328125,0.0,1.0
9937,1186,1,0.954345703125,0.0,1.0
9964,1186,1,0.955078125,0.0,1.0
9991,1186,1,0.955322265625,0.0,1.0
10019,1186,1,0.955322265625,0.0,1.0
10046,1186,1,0.9560546875,0.0,1.0
10073,1186,1,0.956787109375,0.0,1.0
10100,1186,1,0.95703125,0.0,1.0
10128,1186,1,0.95703125,0.0,1.0
10155,1186,1,0.957763671875,0.0,1.0
10182,1186,1,0.95849609375,0.0,1.0
10210,1186,1,0.9619140625,0.0,1.0
10237,1186,1,0.9619140625,0.0,1.0
10264,1186,1,0.962646484375,0.0,1.0
